3LC;ORIGIN;3LC;id;Provinsi;DEST;REGPACK;SLA;JAGOPACK;SLA;BIGPACK/10 KG;SLA
CGK;JAKARTA;BTJ;1;Aceh;BANDA ACEH;  33,200 ;02-03;25,600;03-06;117,000;05-08
CGK;JAKARTA;LSW;1;Aceh;LHOKSEUMAWE;  41,600 ;03-04;21,600;03-06;99,000;05-08
CGK;JAKARTA;MEQ;1;Aceh;MEULABOH;  36,400 ;03-05;28,000;04-07;153,000;06-09
CGK;JAKARTA;SMG;1;Aceh;SIMEULUE;  57,200 ;04-05;51,600;04-07;0;0
CGK;JAKARTA;TXE;1;Aceh;TAKENGON;  47,200 ;05-06;22,800;05-08;148,500;07-10
CGK;JAKARTA;AEG;2;Sumatera Utara;AEK GODANG;  32,000 ;05-06;26,800;05-08;117,000;07-10
CGK;JAKARTA;ASN;2;Sumatera Utara;ASAHAN;  34,000 ;03-05;19,200;03-07;99,000;05-09
CGK;JAKARTA;BNJ;2;Sumatera Utara;BINJAI;  32,800 ;02-04;19,600;03-06;99,000;05-08
CGK;JAKARTA;DLS;2;Sumatera Utara;DELI SERDANG;  33,600 ;02-03;21,600;02-05;112,500;04-07
CGK;JAKARTA;GNS;2;Sumatera Utara;GUNUNG SITOLI;  37,200 ;02-04;27,200;04-07;139,500;06-09
CGK;JAKARTA;KAR;2;Sumatera Utara;KARO;  28,000 ;02-04;19,200;03-06;85,500;05-08
CGK;JAKARTA;MES;2;Sumatera Utara;KOTA MEDAN;  28,000 ;02-03;19,200;02-05;76,500;04-07
CGK;JAKARTA;LAB;2;Sumatera Utara;LABUHAN BATU;  28,000 ;04-06;19,200;04-08;76,500;06-10
CGK;JAKARTA;LBU;2;Sumatera Utara;LABUHAN BATU UTARA;  34,000 ;02-04;19,200;04-08;117,000;06-10
CGK;JAKARTA;KNO;2;Sumatera Utara;MEDAN;  28,000 ;02-03;19,200;02-05;76,500;04-07
CGK;JAKARTA;PDS;2;Sumatera Utara;PADANG LAWAS;  32,000 ;06-07;26,800;07-09;117,000;09-11
CGK;JAKARTA;PLU;2;Sumatera Utara;PADANG LAWAS UTARA;  32,000 ;06-07;26,800;07-09;117,000;09-11
CGK;JAKARTA;WIM;2;Sumatera Utara;PEMATANG SIANTAR;  32,000 ;02-03;20,000;03-06;108,000;05-08
CGK;JAKARTA;FLZ;2;Sumatera Utara;SIBOLGA;  32,000 ;02-04;24,400;03-06;117,000;05-08
CGK;JAKARTA;SDK;2;Sumatera Utara;SIDIKALANG;  28,000 ;03-04;19,200;03-06;76,500;05-08
CGK;JAKARTA;DTB;2;Sumatera Utara;SILANGIT;  36,000 ;02-04;24,000;03-06;117,000;05-08
CGK;JAKARTA;SIG;2;Sumatera Utara;SIMALUNGUN;  32,000 ;02-03;20,000;05-08;112,500;07-10
CGK;JAKARTA;TBG;2;Sumatera Utara;TEBING TINGGI;  32,800 ;02-04;19,600;03-06;99,000;05-08
CGK;JAKARTA;BUK;3;Sumatera Barat;BUKIT TINGGI;  29,600 ;02-03;19,200;02-05;126,000;04-07
CGK;JAKARTA;PDG;3;Sumatera Barat;PADANG;  26,000 ;02-03;18,400;02-05;94,500;04-07
CGK;JAKARTA;PRM;3;Sumatera Barat;PARIAMAN;  26,000 ;03-04;18,400;03-06;103,500;05-08
CGK;JAKARTA;SOX;3;Sumatera Barat;SOLOK;  26,000 ;03-04;18,400;03-06;103,500;05-08
CGK;JAKARTA;BKI;4;Riau;BENGKALIS;  33,200 ;03-05;21,600;03-07;126,000;05-09
CGK;JAKARTA;DUM;4;Riau;DUMAI;  26,000 ;02-04;16,000;02-06;72,000;04-08
CGK;JAKARTA;ILU;4;Riau;INDRAGIRI HULU;  26,000 ;02-04;16,000;03-07;72,000;05-09
CGK;JAKARTA;KMP;4;Riau;KAMPAR;  26,000 ;02-04;16,000;04-07;72,000;06-09
CGK;JAKARTA;PKU;4;Riau;PEKANBARU;  26,000 ;02-03;16,000;02-05;72,000;04-07
CGK;JAKARTA;PLL;4;Riau;PELALAWAN;  26,000 ;04-05;16,000;04-07;81,000;06-09
CGK;JAKARTA;RHL;4;Riau;ROKAN HILIR;  26,000 ;03-04;16,000;03-06;72,000;05-08
CGK;JAKARTA;RHU;4;Riau;ROKAN HULU;  26,000 ;03-04;16,000;03-06;72,000;05-08
CGK;JAKARTA;SSI;4;Riau;SIAK;  26,000 ;02-03;16,000;03-06;72,000;05-08
CGK;JAKARTA;DJB;5;Jambi;JAMBI;  20,800 ;02-03;14,400;02-05;63,000;04-07
CGK;JAKARTA;KRC;5;Jambi;KERINCI;  20,800 ;02-04;14,400;04-07;67,500;06-09
CGK;JAKARTA;MUG;5;Jambi;MA BUNGO;  20,800 ;02-04;14,400;02-06;67,500;04-08
CGK;JAKARTA;MRN;5;Jambi;MERANGIN;  20,800 ;03-04;14,400;04-07;67,500;06-09
CGK;JAKARTA;PLM;5;Jambi;PALEMBANG;  16,000 ;02-03;11,200;02-05;36,000;04-07
CGK;JAKARTA;SLN;5;Jambi;SAROLANGUN;  20,800 ;03-04;14,400;05-09;67,500;07-11
CGK;JAKARTA;TBO;5;Jambi;TEBO;  20,800 ;02-03;14,400;04-07;67,500;06-09
CGK;JAKARTA;LHT;6;Sumatera Selatan;LAHAT;  16,000 ;03-04;11,200;03-06;45,000;05-08
CGK;JAKARTA;LLJ;6;Sumatera Selatan;LUBUK LINGGAU;  24,400 ;03-05;16,400;03-07;117,000;05-09
CGK;JAKARTA;MBI;6;Sumatera Selatan;MUSI BANYUASIN;  16,000 ;03-04;11,200;03-06;45,000;05-08
CGK;JAKARTA;OKI;6;Sumatera Selatan;OGAN KOMERING ILIR;  16,000 ;03-04;11,200;03-06;36,000;05-08
CGK;JAKARTA;BKU;7;Bengkulu;ARGAMAKMUR;  29,600 ;02-04;19,200;03-07;94,500;05-09
CGK;JAKARTA;BKS;7;Bengkulu;BENGKULU;  29,600 ;02-03;19,200;02-05;94,500;04-07
CGK;JAKARTA;KPG;7;Bengkulu;KEPAHIANG;  29,600 ;02-04;19,200;03-06;94,500;05-08
CGK;JAKARTA;BKL;7;Bengkulu;LEBONG;  29,600 ;02-04;19,200;03-06;94,500;05-08
CGK;JAKARTA;MPC;7;Bengkulu;MUKO MUKO;  29,600 ;03-04;19,200;03-06;94,500;05-08
CGK;JAKARTA;RJL;7;Bengkulu;REJANG LEBONG;  29,600 ;02-04;19,200;02-06;94,500;04-08
CGK;JAKARTA;TKG;8;Lampung;LAMPUNG;  14,000 ;02-03;9,600;02-05;36,000;04-07
CGK;JAKARTA;RJS;8;Lampung;LAMPUNG SELATAN;  14,000 ;03-04;9,600;03-06;40,500;05-08
CGK;JAKARTA;LMT;8;Lampung;LAMPUNG TENGAH;  14,000 ;02-04;9,600;03-07;49,500;05-09
CGK;JAKARTA;SUK;8;Lampung;LAMPUNG TIMUR;  14,000 ;03-04;9,600;03-06;36,000;05-08
CGK;JAKARTA;LMU;8;Lampung;LAMPUNG UTARA;  14,000 ;03-04;9,600;03-06;54,000;05-08
CGK;JAKARTA;MTR;8;Lampung;METRO;  14,000 ;03-04;9,600;03-07;49,500;05-09
CGK;JAKARTA;TKS;8;Lampung;PRINGSEWU;  14,000 ;02-03;9,600;03-07;49,500;05-09
CGK;JAKARTA;TBW;8;Lampung;TULANG BAWANG;  14,000 ;02-04;9,600;02-06;49,500;04-08
CGK;JAKARTA;PGK;9;Kepulauan Bangka Belitung;PANGKAL PINANG;  25,600 ;02-03;22,400;03-04;0;0
CGK;JAKARTA;TJQ;9;Kepulauan Bangka Belitung;TANJUNG PANDAN;  28,400 ;02-03;25,600;02-06;0;0
CGK;JAKARTA;BTH;10;Kepulauan Riau;BATAM;  25,200 ;02-03;23,200;03-04;0;0
CGK;JAKARTA;NTX;10;Kepulauan Riau;NATUNA;  42,400 ;04-05;40,000;04-07;0;0
CGK;JAKARTA;TJB;10;Kepulauan Riau;TANJUNG BALAI KARIMUN;  6,000 ;07-10;5,600;07-12;45,000;09-14
CGK;JAKARTA;TNJ;10;Kepulauan Riau;TANJUNG PINANG;  32,000 ;02-03;28,800;02-05;0;0
CGK;JAKARTA;CGK;11;DKI Jakarta;JAKARTA;  6,000 ;01-02;5,600;01-04;27,000;03-06
CGK;JAKARTA;BDO;12;Jawa Barat;BANDUNG;  8,400 ;01-02;7,600;02-05;40,500;04-07
CGK;JAKARTA;BDB;12;Jawa Barat;BANDUNG BARAT;  8,400 ;02-03;7,600;02-05;45,000;04-07
CGK;JAKARTA;BDS;12;Jawa Barat;BANDUNG SELATAN;  8,400 ;02-03;7,600;02-05;45,000;04-07
CGK;JAKARTA;BKA;12;Jawa Barat;BEKASI;  6,000 ;01-02;5,600;01-04;31,500;03-06
CGK;JAKARTA;BGR;12;Jawa Barat;BOGOR;  6,000 ;01-02;5,600;01-04;31,500;03-06
CGK;JAKARTA;BOO;12;Jawa Barat;BOGOR KAB;  6,000 ;01-02;5,600;01-04;31,500;03-06
CGK;JAKARTA;BOG;12;Jawa Barat;BOGOR KABUPATEN;  6,000 ;01-02;5,600;01-04;31,500;03-06
CGK;JAKARTA;SCI;12;Jawa Barat;CIAMIS;  10,000 ;01-03;8,800;01-05;58,500;03-07
CGK;JAKARTA;CJR;12;Jawa Barat;CIANJUR;  8,400 ;02-03;7,600;03-07;40,500;05-09
CGK;JAKARTA;CIK;12;Jawa Barat;CIKARANG;  6,000 ;01-02;5,600;01-04;31,500;03-06
CGK;JAKARTA;CRB;12;Jawa Barat;CIREBON;  8,400 ;02-03;7,200;02-05;45,000;04-07
CGK;JAKARTA;DEP;12;Jawa Barat;DEPOK;  6,000 ;01-02;5,600;01-04;31,500;03-06
CGK;JAKARTA;GRT;12;Jawa Barat;GARUT;  11,200 ;02-03;8,800;02-05;58,500;04-07
CGK;JAKARTA;IYU;12;Jawa Barat;INDRAMAYU;  8,400 ;02-04;7,200;02-06;45,000;04-08
CGK;JAKARTA;KRW;12;Jawa Barat;KARAWANG;  8,800 ;02-03;7,200;02-05;81,000;04-07
CGK;JAKARTA;KUN;12;Jawa Barat;KUNINGAN;  8,400 ;02-04;7,200;02-06;45,000;04-08
CGK;JAKARTA;KJT;12;Jawa Barat;MAJALENGKA;  11,600 ;01-03;9,600;01-05;63,000;03-07
CGK;JAKARTA;PND;12;Jawa Barat;PANGANDARAN;  10,000 ;03-04;8,800;03-07;63,000;05-09
CGK;JAKARTA;PWK;12;Jawa Barat;PURWAKARTA;  8,400 ;02-03;7,600;02-06;40,500;04-08
CGK;JAKARTA;SBN;12;Jawa Barat;SUBANG;  11,200 ;02-03;9,600;02-05;63,000;04-07
CGK;JAKARTA;SKB;12;Jawa Barat;SUKABUMI;  8,400 ;02-03;8,000;02-05;58,500;04-07
CGK;JAKARTA;SSU;12;Jawa Barat;SUMEDANG;  11,200 ;02-04;9,600;02-06;67,500;04-08
CGK;JAKARTA;TSY;12;Jawa Barat;TASIKMALAYA;  10,000 ;02-03;8,800;02-06;58,500;04-08
CGK;JAKARTA;BNA;13;Jawa Tengah;BANJAR NEGARA;  13,600 ;02-04;8,000;03-06;63,000;05-08
CGK;JAKARTA;BXG;13;Jawa Tengah;BATANG;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;CPF;13;Jawa Tengah;BLORA;  13,600 ;03-05;8,000;03-07;63,000;05-09
CGK;JAKARTA;BOY;13;Jawa Tengah;BOYOLALI;  13,200 ;02-04;8,000;02-06;45,000;04-08
CGK;JAKARTA;BRE;13;Jawa Tengah;BREBES;  8,400 ;03-04;7,200;03-06;45,000;05-08
CGK;JAKARTA;CXP;13;Jawa Tengah;CILACAP;  13,600 ;02-03;8,000;02-06;58,500;04-08
CGK;JAKARTA;DMK;13;Jawa Tengah;DEMAK;  13,600 ;03-04;8,000;03-06;63,000;05-08
CGK;JAKARTA;GRO;13;Jawa Tengah;GROBOGAN;  13,600 ;03-05;8,000;03-07;63,000;05-09
CGK;JAKARTA;WKB;13;Jawa Tengah;JEPARA;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;SRX;13;Jawa Tengah;KABUPATEN SEMARANG;  13,600 ;03-05;8,000;03-07;63,000;05-09
CGK;JAKARTA;KGY;13;Jawa Tengah;KARANGANYAR;  13,200 ;02-04;8,000;02-06;45,000;04-08
CGK;JAKARTA;KEU;13;Jawa Tengah;KEBUMEN;  13,600 ;02-03;8,000;02-06;58,500;04-08
CGK;JAKARTA;KDL;13;Jawa Tengah;KENDAL;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;KLE;13;Jawa Tengah;KLATEN;  13,600 ;01-03;8,000;01-05;76,500;03-07
CGK;JAKARTA;KDS;13;Jawa Tengah;KUDUS;  13,600 ;02-03;8,000;02-06;63,000;04-08
CGK;JAKARTA;MGL;13;Jawa Tengah;MAGELANG;  13,600 ;02-03;8,000;03-07;45,000;05-09
CGK;JAKARTA;MTL;13;Jawa Tengah;MUNTILAN;  13,600 ;02-04;8,000;02-06;49,500;04-08
CGK;JAKARTA;PTI;13;Jawa Tengah;PATI;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;PKL;13;Jawa Tengah;PEKALONGAN;  13,600 ;02-03;8,000;02-06;63,000;04-08
CGK;JAKARTA;PML;13;Jawa Tengah;PEMALANG;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;PBG;13;Jawa Tengah;PURBALINGGA;  13,600 ;02-03;8,000;03-06;63,000;05-08
CGK;JAKARTA;PWL;13;Jawa Tengah;PURWOKERTO;  13,600 ;02-03;8,000;02-05;58,500;04-07
CGK;JAKARTA;PUW;13;Jawa Tengah;PURWOREJO;  15,200 ;03-04;9,600;03-07;63,000;05-09
CGK;JAKARTA;REM;13;Jawa Tengah;REMBANG;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;STG;13;Jawa Tengah;SALATIGA;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;SRG;13;Jawa Tengah;SEMARANG;  13,600 ;02-03;8,000;02-05;45,000;04-07
CGK;JAKARTA;SOC;13;Jawa Tengah;SOLO;  13,200 ;02-03;8,000;02-05;45,000;04-07
CGK;JAKARTA;SRN;13;Jawa Tengah;SRAGEN;  13,200 ;02-04;8,000;02-06;45,000;04-08
CGK;JAKARTA;SUO;13;Jawa Tengah;SUKOHARJO;  13,200 ;02-04;8,000;02-06;45,000;04-08
CGK;JAKARTA;TGL;13;Jawa Tengah;TEGAL;  8,400 ;03-04;7,200;04-06;45,000;06-08
CGK;JAKARTA;MGG;13;Jawa Tengah;TEMANGGUNG;  13,600 ;02-04;8,000;02-06;49,500;04-08
CGK;JAKARTA;WNR;13;Jawa Tengah;WONOGIRI;  13,200 ;02-04;8,000;02-06;45,000;04-08
CGK;JAKARTA;WNB;13;Jawa Tengah;WONOSOBO;  13,600 ;02-03;8,000;02-05;58,500;04-07
CGK;JAKARTA;GUK;14;Daerah Istimewa Yogyakarta;GUNUNG KIDUL;  13,600 ;01-03;8,000;01-05;72,000;03-07
CGK;JAKARTA;JOG;14;Daerah Istimewa Yogyakarta;JOGJAKARTA;  13,600 ;02-03;8,000;02-05;45,000;04-07
CGK;JAKARTA;WAZ;14;Daerah Istimewa Yogyakarta;WATES;  13,600 ;02-04;8,000;02-06;63,000;04-08
CGK;JAKARTA;BKN;15;Jawa Timur;BANGKALAN;  14,400 ;02-03;9,600;02-06;45,000;04-08
CGK;JAKARTA;BWX;15;Jawa Timur;BANYUWANGI;  20,000 ;02-04;12,000;02-06;76,500;04-08
CGK;JAKARTA;BLI;15;Jawa Timur;BLITAR;  16,800 ;02-03;12,000;02-05;45,000;04-07
CGK;JAKARTA;SBO;15;Jawa Timur;BONDOWOSO;  17,600 ;02-03;12,000;02-06;45,000;04-08
CGK;JAKARTA;GSK;15;Jawa Timur;GRESIK;  14,400 ;02-03;9,600;02-05;45,000;04-07
CGK;JAKARTA;JBB;15;Jawa Timur;JEMBER;  17,600 ;02-04;12,000;02-06;76,500;04-08
CGK;JAKARTA;JOM;15;Jawa Timur;JOMBANG;  18,400 ;02-04;12,000;02-06;63,000;04-08
